ID,Fx,Fy,Fz,Mx,My,Mz,q,qd,qdd
MAX_Mx_Joint1,-1104.4557258666666,-84.85685634000004,-576.5893490000003,162.9386563606375,471.89224720376893,-264.47632300906577,"[-1.5707963267948966, 1.5707963267948966, 3.141592653589793, -3.141592653589793, 3.141592653589793, -3.141592653589793]","[-3.1, -3.1, -3.1, 4.66, -4.66, 5.2]","[5.0, -5.0, -6.0, 7.0, 8.0, -8.0]"
MIN_Mx_Joint1,-1271.2432662666665,726.41255406,473.52209900000014,-241.8205658414419,-681.7196527981569,559.6196355312353,"[-1.5707963267948966, 1.5707963267948966, 3.141592653589793, 3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, 3.1, 3.1, -4.66, -4.66, 5.2]","[-5.0, 5.0, 6.0, -7.0, -8.0, 8.0]"
MAX_My_Joint1,-773.6018680390016,823.6619197077048,-650.2257063191231,-12.348366204401485,580.2209256690053,763.9401049568731,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, 3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, -3.1, -3.1, -4.66, -4.66, 5.2]","[-5.0, 5.0, 6.0, 7.0, 8.0, -8.0]"
MIN_My_Joint1,-1334.4745455403404,365.7690019077048,547.158456319123,-136.18876197845296,-745.7482414553904,134.92245311797353,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, 4.66, 5.2]","[5.0, -5.0, -6.0, -7.0, -8.0, 8.0]"
MAX_Mz_Joint1,-1166.3275338378958,1050.4021885743716,-139.11077909531824,-165.6076064994071,-20.85855883193774,920.3519348514012,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, -3.141592653589793, -3.141592653589793, 3.141592653589793]","[-3.1, -3.1, -3.1, 4.66, 4.66, -5.2]","[5.0, 5.0, 6.0, -7.0, 8.0, 8.0]"
MIN_Mz_Joint1,-845.8792422666666,-251.08487034000012,74.67966499999993,40.832473676867835,-190.77890644647943,-436.11504303013476,"[-1.5707963267948966, 1.5707963267948966, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, -3.1, 3.1, -4.66, 4.66, -5.2]","[-5.0, -5.0, -6.0, 7.0, -8.0, -8.0]"
MAX_F_RESULTANT_Joint1,-1166.3275338378962,1050.4021885743718,547.158456319123,-228.614069928853,-724.5109597364202,920.2216431576298,"[-1.5707963267948966, -1.0471975511965976, 3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, 4.66, -5.2]","[5.0, 5.0, 6.0, -7.0, -8.0, 8.0]"
MAX_M_RESULTANT_Joint1,-1166.327533837896,1050.4021885743716,547.158456319123,-228.61406992885304,-724.5109597364202,920.22164315763,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, 3.141592653589793, -3.141592653589793, 3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, 4.66, -5.2]","[5.0, 5.0, 6.0, -7.0, -8.0, 8.0]"
MAX_Fx_Joint2,886.1767553132638,331.4340228998985,-960.03355275086,-283.45427139803365,234.13179783361338,-177.71432873033658,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, -3.141592653589793, -3.141592653589793, 3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, 4.66, -5.2]","[5.0, 5.0, 6.0, 7.0, 8.0, -8.0]"
MIN_Fx_Joint2,-228.67325034000024,-207.53367500000002,-531.7139622666666,-12.257145815626139,-188.71919610199467,66.46229611006784,"[-1.5707963267948966, 1.5707963267948966, 3.141592653589793, 3.141592653589793, -3.141592653589793, 3.141592653589793]","[-3.1, -3.1, 3.1, -4.66, 4.66, -5.2]","[5.0, -5.0, -6.0, -7.0, 8.0, -8.0]"
MAX_Fy_Joint2,636.762666446597,432.0842562332319,-730.6170275274619,-298.895765392793,186.92650285485533,-167.6900136084158,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, 3.1, 3.1, -4.66, -4.66, -5.2]","[5.0, 5.0, 6.0, -7.0, -8.0, 8.0]"
MIN_Fy_Joint2,148.87049977993024,-535.1515062332318,-779.3121152495212,83.6265537864257,-56.7498551828054,51.85232681139978,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, -3.1, -3.1, -4.66, -4.66, -5.2]","[-5.0, -5.0, -6.0, 7.0, 8.0, -8.0]"
MAX_Fz_Joint2,493.20847244659694,48.23470748879978,-155.20546028529884,-35.71433339507756,234.8192995609591,-87.73165091709915,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, 3.1, -3.1, -4.66, -4.66, 5.2]","[-5.0, 5.0, 6.0, -7.0, -8.0, -8.0]"
MIN_Fz_Joint2,88.85458739333342,-13.460689000000023,-1172.241406266667,-166.8387491679212,-176.67468625735935,11.563762945865394,"[-1.5707963267948966, 1.5707963267948966, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, -3.1, -3.1, -4.66, -4.66, -5.2]","[-5.0, -5.0, -6.0, -7.0, -8.0, -8.0]"
MAX_Mx_Joint2,493.20847244659683,-473.05797584453364,-155.20546028529887,153.05059980610028,234.81313332895903,-2.64504257683243,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, -3.1, 3.1, -4.66, -4.66, 5.2]","[-5.0, 5.0, 6.0, 7.0, 8.0, -8.0]"
