ID,Fx,Fy,Fz,Mx,My,Mz,q,qd,qdd
MIN_Fz_Joint2,156.58303406000002,-41.23568899999998,-1145.573901466667,-153.77428266513087,-90.63187533681823,-1.6558850934674036,"[-1.5707963267948966, 1.5707963267948966, -3.141592653589793, -3.141592653589793, 0.0, -3.141592653589793]","[-3.1, -3.1, -3.1, -4.66, 4.66, -5.2]","[-5.0, -5.0, -6.0, -7.0, -8.0, -8.0]"
MAX_Mx_Joint2,600.1153498926806,-845.6193264370501,-493.1033509846034,311.182187463213,265.88008234771985,44.4608691300934,"[-1.5707963267948966, 0.26179938779914935, -3.141592653589793, 3.141592653589793, 0.0, -3.141592653589793]","[-3.1, -3.1, -3.1, 4.66, -4.66, -5.2]","[5.0, 5.0, 6.0, 7.0, -8.0, 8.0]"
MIN_Mx_Joint2,-75.55742247312067,742.5520764370499,-742.9704121253086,-483.5332280104488,-140.47425837026688,-118.94416579890738,"[-1.5707963267948966, 0.26179938779914935, -3.141592653589793, 3.141592653589793, 0.0, -3.141592653589793]","[-3.1, 3.1, 3.1, -4.66, 4.66, -5.2]","[-5.0, -5.0, -6.0, -7.0, 8.0, -8.0]"
MAX_My_Joint2,638.6747988112066,127.55093593605893,-225.90509961185091,-184.9195084252759,347.4942252831389,-169.4999236487395,"[-1.5707963267948966, 0.26179938779914935, 0.0, 3.141592653589793, 0.0, 3.141592653589793]","[-3.1, -3.1, -3.1, -4.66, 4.66, -5.2]","[-5.0, 5.0, 6.0, -7.0, -8.0, -8.0]"
MIN_My_Joint2,-850.3341204778734,-675.4636119005673,-679.7899638753086,189.00889431817126,-358.211827349335,39.55790534844523,"[-1.5707963267948966, 0.26179938779914935, -3.141592653589793, 0.0, 0.0, -3.141592653589793]","[-3.1, -3.1, -3.1, 4.66, -4.66, 5.2]","[-5.0, -5.0, -6.0, -7.0, -8.0, -8.0]"
MAX_Mz_Joint2,-850.3341204778733,704.9313256516286,-679.7899638753084,-449.0260471071178,-358.0833387513142,257.5286903745934,"[-1.5707963267948966, 0.26179938779914935, 3.141592653589793, 0.0, 0.0, -3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, -4.66, 5.2]","[-5.0, -5.0, -6.0, 7.0, -8.0, 8.0]"
MIN_Mz_Joint2,721.9116863112068,708.8694372158268,-554.4864521830222,-441.5443526450015,337.75643914065535,-252.3240349988133,"[-1.5707963267948966, 0.26179938779914935, -3.141592653589793, 3.141592653589793, 0.0, 3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, -4.66, 5.2]","[5.0, 5.0, 6.0, -7.0, 8.0, -8.0]"
MAX_F_RESULTANT_Joint2,-798.5363480431221,-807.9985756516287,-665.9107925816859,260.84872612668215,-342.7145482434905,2.848129557912839,"[-1.5707963267948966, 0.26179938779914935, -3.141592653589793, 0.0, 0.0, -3.141592653589793]","[-3.1, -3.1, -3.1, 4.66, -4.66, 5.2]","[5.0, -5.0, -6.0, -7.0, 8.0, -8.0]"
MAX_M_RESULTANT_Joint2,-850.3341204778733,704.9313256516286,-679.7899638753084,-449.0260471071178,-358.0833387513142,257.5286903745934,"[-1.5707963267948966, 0.26179938779914935, 3.141592653589793, 0.0, 0.0, -3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, -4.66, 5.2]","[-5.0, -5.0, -6.0, 7.0, -8.0, 8.0]"
MAX_Fx_Joint3,643.275835004696,-524.023486409355,23.993727439254815,130.8112989177492,141.8170470386342,-379.07729804451554,"[-1.5707963267948966, 0.26179938779914935, -3.141592653589793, -3.141592653589793, 0.0, -3.141592653589793]","[-3.1, -3.1, -3.1, -4.66, -4.66, -5.2]","[5.0, -5.0, -6.0, 7.0, -8.0, 8.0]"
MIN_Fx_Joint3,-605.6550842192746,-419.1742736732694,-340.6608318266483,-115.76669989510911,-130.61427718335383,357.43234200643707,"[-1.5707963267948966, 0.26179938779914935, -3.141592653589793, 0.0, 0.0, -3.141592653589793]","[-3.1, -3.1, -3.1, -4.66, -4.66, -5.2]","[5.0, -5.0, -6.0, -7.0, 8.0, -8.0]"
MAX_Fy_Joint3,-16.945408333333308,415.26142813333337,-240.41602006000005,-175.74005766230974,-6.279744958817861,3.13944007255777,"[-1.5707963267948966, 1.5707963267948966, 0.0, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, -3.1, 3.1, -4.66, -4.66, 5.2]","[-5.0, 5.0, 6.0, -7.0, -8.0, -8.0]"
